,AMD_open,CELG_open,RMD_open,ARNC_open,M_open,NVDA_open,XLNX_open,FCX_open,NKTR_open,LRCX_open,LYFT_open,UBER_open,SFIX_open,CRM_open,SQ_open,BYND_open,PINS_open,SPOT_open,Values
1999-11-22,0.10145897638724055,0.10145897638724055,0.09902734907517298,0.10145897638724055,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.10145897638724055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1999-11-23,0.10145897638724055,0.10145897638724055,0.09902734907517298,0.10145897638724055,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.10145897638724055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9980435.745104901
1999-11-24,0.10145897638724055,0.10145897638724055,0.09902734907517298,0.10145897638724055,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.09902734907517298,0.10145897638724055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9970488.583103746
1999-11-26,0.10293680431183255,0.10046975848016294,0.0980618393639208,0.10293680431183255,0.10046975848016294,0.10046975848016294,0.0980618393639208,0.0980618393639208,0.0980618393639208,0.10046975848016294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10018741.924428327
1999-11-29,0.10293680431183255,0.10046975848016294,0.0980618393639208,0.10293680431183255,0.10046975848016294,0.10046975848016294,0.0980618393639208,0.0980618393639208,0.0980618393639208,0.10046975848016294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9958726.474216022
1999-11-30,0.10168238120936965,0.10168238120936965,0.09686682425158581,0.10417920312385992,0.10168238120936965,0.09924539964195198,0.09686682425158581,0.09924539964195198,0.09686682425158581,0.10168238120936965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10163756.79564504
1999-12-01,0.10168238120936965,0.10168238120936965,0.09686682425158581,0.10417920312385992,0.10168238120936965,0.09924539964195198,0.09686682425158581,0.09924539964195198,0.09686682425158581,0.10168238120936965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10047345.157628978
1999-12-02,0.10240743811812214,0.09995307939744603,0.09521942012216601,0.10492206388375648,0.10240743811812214,0.09995307939744603,0.09755754332520694,0.09995307939744603,0.09521942012216601,0.10240743811812214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10238892.737618707
1999-12-03,0.1036433291663252,0.10115935033183993,0.09636856349599333,0.10618830237088037,0.10115935033183993,0.09873490403938898,0.09636856349599333,0.10115935033183993,0.09405893610405913,0.10115935033183993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10584633.127999127
1999-12-06,0.1036433291663252,0.10115935033183993,0.09636856349599333,0.10618830237088037,0.10115935033183993,0.09873490403938898,0.09636856349599333,0.10115935033183993,0.09405893610405913,0.10115935033183993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10486996.265861932
